entity_id,attribute_set_id,type_id,sku,has_options,required_options,created_at,updated_at
1,15,simple,24-MB01,0,0,"2017-12-19 11:38:44","2017-12-19 11:38:44"
2,15,simple,24-MB04,0,0,"2017-12-19 11:38:46","2017-12-19 11:38:46"
3,15,simple,24-MB03,0,0,"2017-12-19 11:38:48","2017-12-19 11:38:48"
4,15,simple,24-MB05,0,0,"2017-12-19 11:38:49","2017-12-19 11:38:49"
5,15,simple,24-MB06,0,0,"2017-12-19 11:38:50","2017-12-19 11:38:50"
6,15,simple,24-MB02,0,0,"2017-12-19 11:38:51","2017-12-19 11:38:51"
7,15,simple,24-UB02,0,0,"2017-12-19 11:38:52","2017-12-19 11:38:52"
8,15,simple,24-WB01,0,0,"2017-12-19 11:38:53","2017-12-19 11:38:53"
9,15,simple,24-WB02,0,0,"2017-12-19 11:38:54","2017-12-19 11:38:54"
10,15,simple,24-WB05,0,0,"2017-12-19 11:38:55","2017-12-19 11:38:55"
11,15,simple,24-WB06,0,0,"2017-12-19 11:38:56","2017-12-19 11:38:56"
12,15,simple,24-WB03,0,0,"2017-12-19 11:38:57","2017-12-19 11:38:57"
13,15,simple,24-WB07,0,0,"2017-12-19 11:38:57","2017-12-19 11:38:57"
14,15,simple,24-WB04,0,0,"2017-12-19 11:38:58","2017-12-19 11:38:58"
15,11,simple,24-UG06,0,0,"2017-12-19 11:38:59","2017-12-19 11:38:59"
16,11,simple,24-UG07,0,0,"2017-12-19 11:39:00","2017-12-19 11:39:00"
17,11,simple,24-UG04,0,0,"2017-12-19 11:39:01","2017-12-19 11:39:01"
18,11,simple,24-UG02,0,0,"2017-12-19 11:39:01","2017-12-19 11:39:01"
19,11,simple,24-UG05,0,0,"2017-12-19 11:39:02","2017-12-19 11:39:02"
20,11,simple,24-UG01,0,0,"2017-12-19 11:39:03","2017-12-19 11:39:03"
21,11,simple,24-WG084,0,0,"2017-12-19 11:39:04","2017-12-19 11:39:04"
22,11,simple,24-WG088,0,0,"2017-12-19 11:39:05","2017-12-19 11:39:05"
23,11,simple,24-UG03,0,0,"2017-12-19 11:39:06","2017-12-19 11:39:06"
24,12,simple,24-WG081-gray,0,0,"2017-12-19 11:39:07","2017-12-19 11:39:07"
25,12,simple,24-WG081-pink,0,0,"2017-12-19 11:39:08","2017-12-19 11:39:08"
26,12,simple,24-WG081-blue,0,0,"2017-12-19 11:39:08","2017-12-19 11:39:08"
27,12,simple,24-WG082-gray,0,0,"2017-12-19 11:39:09","2017-12-19 11:39:09"
28,12,simple,24-WG082-pink,0,0,"2017-12-19 11:39:10","2017-12-19 11:39:10"
29,12,simple,24-WG082-blue,0,0,"2017-12-19 11:39:10","2017-12-19 11:39:10"
30,12,simple,24-WG083-gray,0,0,"2017-12-19 11:39:11","2017-12-19 11:39:11"
31,12,simple,24-WG083-pink,0,0,"2017-12-19 11:39:12","2017-12-19 11:39:12"
32,12,simple,24-WG083-blue,0,0,"2017-12-19 11:39:12","2017-12-19 11:39:12"
33,13,simple,24-WG085,0,0,"2017-12-19 11:39:13","2017-12-19 11:39:13"
34,13,simple,24-WG086,0,0,"2017-12-19 11:39:14","2017-12-19 11:39:14"
35,13,simple,24-WG087,0,0,"2017-12-19 11:39:14","2017-12-19 11:39:14"
36,11,simple,24-MG04,0,0,"2017-12-19 11:39:16","2017-12-19 11:39:16"
37,11,simple,24-MG01,0,0,"2017-12-19 11:39:17","2017-12-19 11:39:17"
38,11,simple,24-MG03,0,0,"2017-12-19 11:39:17","2017-12-19 11:39:17"
39,11,simple,24-MG05,0,0,"2017-12-19 11:39:18","2017-12-19 11:39:18"
40,11,simple,24-MG02,0,0,"2017-12-19 11:39:19","2017-12-19 11:39:19"
41,11,simple,24-WG09,0,0,"2017-12-19 11:39:20","2017-12-19 11:39:20"
42,11,simple,24-WG01,0,0,"2017-12-19 11:39:21","2017-12-19 11:39:21"
43,11,simple,24-WG03,0,0,"2017-12-19 11:39:21","2017-12-19 11:39:21"
44,11,simple,24-WG02,0,0,"2017-12-19 11:39:22","2017-12-19 11:39:22"
45,11,bundle,24-WG080,1,1,"2017-12-19 11:39:24","2017-12-19 11:39:24"
46,14,downloadable,240-LV04,0,0,"2017-12-19 11:39:27","2018-01-08 16:09:21"
47,14,downloadable,240-LV05,0,0,"2017-12-19 11:39:29","2017-12-19 11:39:29"
48,14,downloadable,240-LV06,0,0,"2017-12-19 11:39:30","2017-12-19 11:39:30"
49,14,downloadable,240-LV07,0,0,"2017-12-19 11:39:31","2017-12-19 11:39:31"
50,14,downloadable,240-LV08,0,0,"2017-12-19 11:39:32","2017-12-19 11:39:32"
51,14,downloadable,240-LV09,0,0,"2017-12-19 11:39:33","2017-12-19 11:39:33"
52,9,simple,MH01-XS-Black,0,0,"2017-12-19 11:40:45","2017-12-19 11:40:45"
